,time,open,high,low,close,tick_volume,spread,real_volume,diff
159,1711929600,1.07888,1.07988,1.07852,1.07913,4064,0,0,0.00024999999999986144
160,1711944000,1.07914,1.07945,1.07841,1.07867,3537,0,0,-0.00046999999999997044
161,1711958400,1.07867,1.07921,1.07828,1.07898,3978,0,0,0.00031000000000003247
162,1711972800,1.07898,1.0791,1.07771,1.07818,4226,0,0,-0.0008000000000001339
163,1711987200,1.07817,1.07829,1.07309,1.07365,12509,0,0,-0.0045200000000000795
164,1712001600,1.07365,1.0744,1.07365,1.0743,3502,0,0,0.0006500000000000394
165,1712016000,1.0738,1.07437,1.0731,1.07371,4919,0,0,-9.000000000014552e-05
166,1712030400,1.07372,1.07381,1.07294,1.07332,3173,0,0,-0.00039999999999995595
167,1712044800,1.07332,1.07428,1.07247,1.07313,8639,0,0,-0.0001900000000001345
168,1712059200,1.07313,1.07561,1.07311,1.0749,9621,0,0,0.0017700000000000493
169,1712073600,1.0749,1.07791,1.0748,1.07682,14639,0,0,0.0019200000000001438
170,1712088000,1.07682,1.07693,1.07602,1.07692,3774,0,0,9.999999999998899e-05
171,1712102400,1.07697,1.07734,1.07659,1.07689,2527,0,0,-8.000000000008001e-05
172,1712116800,1.07688,1.07794,1.07659,1.07746,3275,0,0,0.0005800000000000249
173,1712131200,1.07747,1.07774,1.0764,1.07718,6118,0,0,-0.00028999999999990145
174,1712145600,1.07712,1.07863,1.07651,1.07778,9927,0,0,0.0006599999999998829
175,1712160000,1.07782,1.08362,1.07778,1.08306,21243,0,0,0.005239999999999911
176,1712174400,1.08307,1.08368,1.08256,1.0836,6087,0,0,0.0005299999999999194
177,1712188800,1.08322,1.08435,1.08318,1.0843099999999999,3601,0,0,0.0010899999999998133
178,1712203200,1.0843099999999999,1.08449,1.08382,1.08426,2485,0,0,-4.999999999988347e-05
179,1712217600,1.08427,1.08626,1.0839,1.08619,8705,0,0,0.0019199999999999218
180,1712232000,1.08619,1.08703,1.08507,1.08697,7985,0,0,0.0007800000000000029
181,1712246400,1.08697,1.08766,1.0858,1.08588,8869,0,0,-0.0010900000000000354
182,1712260800,1.08587,1.08618,1.08318,1.0836999999999999,11793,0,0,-0.0021700000000000053
183,1712275200,1.08319,1.0844,1.08319,1.08416,10578,0,0,0.0009699999999999154
184,1712289600,1.08416,1.0843,1.08234,1.08263,4641,0,0,-0.0015300000000000313
185,1712304000,1.08266,1.08464,1.08225,1.08376,7696,0,0,0.001100000000000101
186,1712318400,1.08376,1.08479,1.08001,1.08093,14131,0,0,-0.00283000000000011
187,1712332800,1.08093,1.08443,1.07914,1.08357,18550,0,0,0.0026399999999999757
188,1712347200,1.08357,1.08389,1.08307,1.08371,6208,0,0,0.000140000000000029
189,1712534400,1.08371,1.08379,1.08231,1.08271,4957,0,0,-0.0009999999999998899
190,1712548800,1.0827,1.08433,1.08269,1.0832,5219,0,0,0.0004999999999999449
191,1712563200,1.08321,1.08377,1.08222,1.08235,8295,0,0,-0.0008600000000000829
192,1712577600,1.08234,1.08355,1.08209,1.08343,7343,0,0,0.0010899999999998133
193,1712592000,1.08343,1.08589,1.08343,1.08501,12206,0,0,0.0015800000000001369
194,1712606400,1.08501,1.08622,1.08495,1.08594,4340,0,0,0.0009299999999998754
195,1712620800,1.08557,1.08635,1.08512,1.08586,3676,0,0,0.0002900000000001235
196,1712635200,1.08586,1.08622,1.08539,1.08565,3073,0,0,-0.00021000000000004349
197,1712649600,1.08566,1.08626,1.08491,1.08575,6455,0,0,8.999999999992347e-05
198,1712664000,1.08575,1.08839,1.08564,1.08806,8205,0,0,0.0023100000000000342
199,1712678400,1.08806,1.08851,1.08522,1.08545,12469,0,0,-0.002610000000000001
200,1712692800,1.08545,1.0859,1.08477,1.08566,5991,0,0,0.00021000000000004349
201,1712707200,1.0856,1.08597,1.08524,1.08571,6011,0,0,0.0001100000000000545
202,1712721600,1.08572,1.08589,1.08505,1.08525,3935,0,0,-0.00046999999999997044
203,1712736000,1.08525,1.08608,1.08478,1.0860400000000001,6137,0,0,0.0007900000000000684
204,1712750400,1.0860400000000001,1.0866500000000001,1.07783,1.07807,16202,0,0,-0.007970000000000033
205,1712764800,1.07807,1.07812,1.07287,1.0735999999999999,23591,0,0,-0.004470000000000196
206,1712779200,1.0735999999999999,1.0754299999999999,1.0729,1.0742,14808,0,0,0.000600000000000156
207,1712793600,1.07417,1.07458,1.07383,1.07425,3832,0,0,7.999999999985796e-05
208,1712808000,1.07426,1.07489,1.07411,1.07462,4169,0,0,0.00035999999999991594
209,1712822400,1.07461,1.07498,1.07266,1.07405,9261,0,0,-0.000560000000000116
210,1712836800,1.07405,1.07468,1.07144,1.07414,18287,0,0,9.000000000014552e-05
211,1712851200,1.07415,1.07565,1.06992,1.07176,21461,0,0,-0.002389999999999892
212,1712865600,1.07176,1.07345,1.07153,1.07257,6520,0,0,0.0008099999999999774
213,1712880000,1.07258,1.07293,1.07225,1.07259,1883,0,0,9.999999999843467e-06
214,1712894400,1.07259,1.07282,1.07108,1.07112,3783,0,0,-0.0014699999999998603
